Insertion,Orientation,Frequency
1417,plus,19
1456,plus,20
1481,plus,5
1493,plus,5
2621,plus,1
2624,minus,3
2677,plus,1
2735,plus,33
2736,plus,185
2743,minus,4
2746,plus,36
2757,plus,270
2759,plus,112
2772,plus,13
2779,plus,7
2784,plus,20
2809,plus,5
5274,plus,16
5284,minus,12
5321,minus,17
5323,plus,2
5324,plus,2
5329,plus,2
5331,minus,2
5332,minus,22
5335,plus,61
5337,minus,2
5338,minus,22
5341,plus,3
5343,minus,31
5343,plus,10
5348,minus,3
5348,plus,11
5349,minus,40
5350,minus,17
5351,minus,10
5353,plus,30
5355,minus,11
5361,minus,61
5368,plus,294
5373,plus,473
5376,minus,23
5381,minus,58
5386,minus,2
5386,plus,1728
5393,plus,4811
5394,plus,2590
5400,minus,2
5401,minus,269
5401,plus,114
5402,minus,38
5403,plus,14
5409,minus,9
5410,minus,11
5411,minus,29
5411,plus,108
5415,plus,96
5418,minus,93
5419,minus,9
5422,plus,294
5423,minus,8
5427,minus,7
5429,plus,1588
5435,plus,2370
5437,minus,169
5441,minus,120
5443,minus,173
5447,plus,408
5469,minus,6
5471,plus,93
5476,plus,54
5479,minus,13
5481,plus,3424
5482,plus,428
5488,plus,1
5489,minus,427
5490,minus,73
5494,plus,141
5495,plus,300
5497,minus,46
5502,minus,218
5502,plus,127
5504,minus,8
5509,minus,67
5510,plus,148
5511,plus,65
5512,plus,263
5516,plus,21
5517,plus,74
5518,minus,469
5519,minus,98
5519,plus,71
5520,plus,1271
5525,minus,99
5526,plus,18291
5528,minus,180
5530,minus,1
5531,plus,268
5534,minus,8392
5535,minus,166
5537,plus,282
5539,minus,333
5541,plus,103
5542,plus,48
5544,minus,228
5545,minus,32
5550,minus,92
5552,minus,285
5552,plus,44
5553,minus,152
5557,minus,107
5560,minus,730
5562,plus,1
5563,plus,346
5571,minus,360
5572,minus,116
5577,plus,56
5582,plus,78
5587,plus,75
5590,minus,1747
5591,plus,20
5592,minus,1
5592,plus,421
5595,minus,37
5596,minus,284
5597,plus,661
5599,plus,49
5600,minus,1177
5602,plus,173
5605,minus,4447
5607,plus,516
5610,minus,3213
5615,minus,2577
5616,plus,254
5617,minus,617
5617,plus,27
5618,plus,236
5620,minus,1220
5623,minus,695
5624,minus,1030
5625,minus,6
5626,minus,540
5628,minus,5
5628,plus,31
5631,plus,2
5638,minus,1512
5638,plus,78
5639,minus,1714
5639,plus,356
5640,plus,235
5645,minus,427
5645,plus,39
5646,minus,817
5647,minus,436
5647,plus,762
5648,minus,869
5652,plus,98
5653,minus,3189
5655,minus,5023
5656,plus,112
5657,plus,598
5660,minus,363
5665,minus,2972
5666,minus,1
5672,minus,108
5675,plus,1767
5676,plus,665
5683,minus,1133
5684,minus,2
5686,plus,177
5687,plus,11
5692,plus,823
5694,minus,91
5695,minus,213
5698,plus,15
5700,minus,1791
5701,plus,697
5706,minus,32
5709,minus,6762
5711,minus,1277
5711,plus,426
5716,plus,74
5719,minus,242
5721,plus,309
5724,minus,1644
5727,plus,162
5728,plus,266
5729,minus,2950
5730,plus,424
5732,plus,1108
5734,minus,1162
5735,minus,3578
5736,minus,3012
5737,plus,37
5738,minus,211
5740,minus,6149
5740,plus,47
5742,minus,1
5745,minus,761
5745,plus,428
5746,plus,165
5747,plus,74
5748,minus,449
5753,minus,5407
5754,minus,734
5755,minus,3548
5755,plus,159
5756,plus,155
5758,minus,1179
5760,plus,54
5763,minus,64
5764,minus,2
5770,plus,65
5772,plus,187
5773,minus,1451
5777,plus,38
5778,minus,4644
5778,plus,17
5780,minus,3
5781,minus,2476
5782,plus,22
5783,plus,480
