Insertion,Orientation,Frequency
1471,plus,1
2621,plus,10
2702,plus,4
2735,plus,8
2746,plus,27
2759,plus,70
2809,plus,2
5321,minus,5
5324,plus,1
5331,minus,32
5332,minus,1
5337,minus,6
5344,minus,6
5349,minus,1
5353,plus,2
5373,plus,392
5376,minus,11
5381,minus,22
5386,minus,178
5386,plus,635
5393,plus,558
5401,minus,49
5401,plus,362
5403,plus,2224
5411,minus,28
5421,plus,1
5422,plus,11420
5423,minus,15
5427,minus,5
5429,plus,2443
5435,plus,10697
5437,minus,165
5441,minus,49
5443,minus,65
5447,plus,3
5471,plus,7
5476,plus,58
5478,minus,1
5481,plus,3573
5488,plus,81
5489,minus,60
5490,minus,89
5497,minus,17
5502,minus,41
5502,plus,6
5510,plus,288
5516,plus,8
5517,plus,6
5518,minus,131
5519,plus,384
5526,plus,14811
5528,minus,10
5534,minus,2220
5539,minus,859
5542,plus,41
5544,minus,103
5545,minus,14
5550,minus,71
5552,plus,48
5553,minus,271
5560,minus,455
5563,plus,36
5571,minus,111
5572,minus,5
5587,plus,63
5590,minus,1458
5592,plus,337
5595,minus,13
5597,plus,380
5599,plus,8
5600,minus,10
5602,plus,7
5605,minus,3328
5607,plus,900
5610,minus,2529
5615,minus,4027
5616,plus,541
5617,plus,10
5618,plus,146
5620,minus,1091
5623,minus,695
5626,minus,267
5628,plus,19
5630,plus,35
5631,plus,20
5638,plus,366
5639,minus,245
5639,plus,85
5640,plus,14
5645,minus,301
5645,plus,1035
5646,minus,243
5647,minus,14
5647,plus,1308
5648,minus,1354
5653,minus,11441
5655,minus,5013
5660,minus,65
5665,minus,2737
5666,minus,5
5675,plus,2
5677,minus,248
5687,plus,166
5692,plus,591
5701,plus,261
5706,minus,252
5709,minus,6118
5711,minus,25641
5711,plus,131
5712,minus,1
5719,minus,2
5721,plus,45
5724,minus,75
5727,plus,33
5728,plus,6
5729,minus,1372
5732,plus,210
5734,minus,4585
5735,minus,788
5736,minus,313
5738,minus,106
5740,minus,3264
5745,minus,645
5745,plus,130
5746,plus,132
5747,plus,89
5751,plus,3
5753,minus,18935
5755,minus,617
5755,plus,663
5756,plus,2
5760,plus,329
5763,minus,1
5764,minus,2
5772,plus,13
5777,plus,94
5778,minus,16
5780,minus,3
5786,minus,19
5787,plus,37
5793,plus,34
5795,minus,14253
5795,plus,1845
5796,minus,13493
5796,plus,300
5797,minus,2
5801,minus,2
5803,minus,23193
5803,plus,387
5804,minus,39670
5806,minus,3025
5808,plus,42
5811,minus,26806
5816,minus,19241
5816,plus,25
5821,minus,2
5821,plus,480
5823,minus,1
5824,minus,9475
5827,minus,1
5829,minus,94155
5830,minus,4
5831,plus,36
5846,minus,1275
5847,minus,27644
5848,minus,3
5865,minus,1424
5867,plus,19
5875,minus,13496
5876,minus,452
5882,minus,1
5884,plus,68
5885,plus,46
5887,minus,29945
5888,minus,2
5889,plus,48
5892,minus,1
5892,plus,14
5893,minus,21764
5894,minus,3
5894,plus,32
5902,minus,12495
5903,minus,1
5915,minus,15428
5928,plus,9
5930,plus,109
5936,plus,215
5943,minus,19
5944,minus,82
5949,plus,25
5951,minus,33
5953,plus,16
5954,plus,143
5959,plus,313
5962,minus,8
5964,plus,971
5966,minus,11
5967,minus,2
5972,minus,83
5978,minus,12
5979,plus,14
5987,minus,1
6026,plus,7
6028,plus,29
6034,minus,5
6036,minus,216
6037,minus,283
6045,plus,95
6052,plus,82
6057,plus,2
6060,minus,45
6105,minus,2
6106,plus,26
6116,minus,3
6131,minus,1
6139,minus,32
6165,minus,11
6192,minus,443
6196,minus,219
6214,minus,290
6224,plus,5
6225,minus,44
6230,minus,132
6236,plus,5
6244,minus,1009
6248,plus,51
6256,minus,124
6266,plus,4
6274,minus,147
6281,minus,1522
6293,minus,33
6309,plus,5
6317,minus,1
6318,minus,627
6321,plus,3
6329,minus,1
6353,plus,2
6417,plus,8
6449,minus,11
6450,minus,6
6462,plus,3
6468,minus,31
6476,plus,4
6477,minus,3
6497,plus,10
6505,minus,99
6521,minus,93
6551,minus,67
6558,plus,7
6563,plus,16
6569,minus,14
6571,minus,50
6612,minus,129
6624,minus,2
6668,minus,105
6734,minus,119
6739,minus,26
6773,plus,1
6786,minus,375
6800,plus,8
6806,minus,100
6808,minus,99
6834,minus,268
6860,plus,19
6863,minus,15
6893,plus,23
6956,plus,195
6964,minus,8
6990,plus,2
7001,plus,1
7013,plus,6
7018,plus,6
7039,minus,6
7079,minus,36
7110,minus,12
7139,plus,1
7151,minus,227
7175,minus,21
7180,plus,93
7188,minus,2
7243,plus,1
7251,minus,1
7252,minus,49
7270,plus,18
7278,minus,13
7285,plus,595
7292,plus,205
7300,minus,76
7302,plus,2
7314,plus,17
7316,plus,2
7322,plus,3
7323,plus,23
7325,plus,10
7326,plus,1
7331,plus,25
7341,minus,29
7358,plus,5
7360,plus,2
7366,minus,2
7368,minus,3
7396,minus,7
7459,plus,5
7461,plus,136
7464,minus,340
7469,minus,41
7476,plus,3
7483,plus,25
7484,minus,132
7486,plus,6
7487,plus,13
7488,plus,41
7495,minus,33
7496,minus,452
7500,plus,2
7505,plus,61
7507,minus,1
7508,minus,217
7510,plus,2
7513,minus,19
7528,plus,24
7543,plus,8
7551,minus,137
7574,minus,45
7580,minus,58
7582,plus,3
7590,minus,177
7625,minus,11
7648,plus,28
7666,minus,190
7668,plus,1
7672,minus,393
7676,minus,2
7682,minus,23
7711,minus,6
7742,plus,19
7744,minus,46
7750,minus,1
7761,plus,90
7777,minus,19
7779,minus,1
7791,minus,69
7808,minus,350
7808,plus,41
7826,minus,6143
7843,plus,43
7851,minus,1336
7855,minus,24
7911,plus,10
7913,plus,4
7934,minus,13
7936,minus,170
7943,plus,20
7948,plus,1
7949,minus,6
7951,minus,36
7953,plus,24
7956,minus,387
7957,minus,1
7961,minus,79
7977,minus,146
7987,minus,1
8005,minus,63
8007,plus,9
8013,minus,10
8024,minus,434
8049,minus,135
8065,plus,13
8070,plus,110
8073,minus,25
8078,minus,973
8079,minus,166
8107,minus,739
8113,minus,213
8114,minus,150
8132,plus,59
8136,minus,287
8140,minus,277
8150,minus,1177
8193,plus,45
8226,plus,2
8232,plus,50
8240,minus,34
8246,plus,312
8254,minus,3
8262,minus,18
8267,minus,192
8268,plus,36
8275,minus,1
8276,minus,8
8314,plus,14
8322,plus,711
8330,minus,528
8341,minus,13
8342,minus,47
8343,minus,23
8348,plus,7
8352,minus,31
8382,plus,21
8384,plus,97
8394,plus,36
8398,plus,1
8399,plus,212
8401,minus,23
8402,minus,282
8404,plus,1
8407,minus,67
8412,minus,294
8419,minus,32
8437,plus,202
8441,minus,43
8445,minus,299
8449,minus,3
8450,minus,3
8456,minus,5
8458,plus,45
8466,minus,78
8468,plus,204
8473,plus,3549
8481,minus,1352
8490,minus,10
8500,plus,47
8506,minus,99
8508,minus,19
8533,minus,657
8538,minus,207
8542,plus,133
8547,plus,3091
8549,minus,3
8549,plus,115
8550,minus,4
8555,minus,18
8557,minus,158
8557,plus,97
8559,plus,82
8560,minus,23
8564,plus,48
8565,minus,22
8570,minus,58
8572,minus,238
8593,plus,5498
8607,minus,18
8616,minus,37
8618,minus,11
8621,minus,75
8621,plus,810
8625,minus,19
8629,minus,3304
8642,plus,430
8644,plus,1
8650,minus,14
8654,plus,398
8655,plus,12
