Insertion	Frequency
1464	20
1501	5
2744	89
2754	28
2767	1
2780	13
2792	20
2817	5
5337	1
5343	4
5349	3
5356	11
5361	7
5376	294
5381	173
5394	2
5401	1391
5402	1052
5409	114
5419	108
5423	95
5437	712
5443	903
5479	93
5489	1062
5490	142
5510	118
5518	1
5519	46
5520	262
5524	21
5525	74
5528	563
5534	4762
5539	268
5545	281
5549	18
5560	44
5571	100
5585	56
5590	57
5599	20
5600	77
5605	274
5607	40
5615	162
5624	32
5626	32
5646	35
5647	174
5648	79
5653	1
5655	152
5660	98
5664	111
5683	434
5694	177
5706	15
5709	70
5719	110
5724	4
5729	301
5735	52
5745	15
5748	47
5753	124
5754	13
5763	40
5764	153
5778	65
5780	148
5803	154
5804	545
5811	109
5816	108
5824	189
5829	63
5840	1
5875	63
5887	1
5893	53
5902	160
5932	1
5938	65
5944	27
5954	128
5961	5
5962	31
5967	134
5972	51
6036	48
6053	1
6065	149
6066	6
6129	122
6192	6
6214	5
6225	14
6256	14
6274	3
6317	10
6346	3
6351	2
6360	22
6361	8
6370	21
6521	7
6729	11
6734	9
6739	7
6776	14
6806	13
6808	22
6823	11
6964	5
6977	33
6998	1
7009	7
7175	7
7195	14
7216	1
7238	299
7272	49
7278	16
7300	450
7320	101
7321	262
7322	95
7323	3
7330	11
7331	90
7333	99
7369	189
7378	1
7462	2
7470	11
7480	85
7484	104
7489	2
7495	42
7496	289
7541	11
7551	22
7574	20
7636	10
7638	7
7656	7
7666	16
7682	7
7735	1
7750	57
7779	36
7785	30
7791	105
7865	13
7921	3
7951	26
7956	17
7977	2
8049	20
8053	8
8079	14
8140	2
8144	2
8207	1
8215	8
8240	2
8254	28
8276	55
8296	62
8330	41
8390	5
8402	27
8407	10
8445	76
8456	5
8460	107
8466	55
8476	10
8481	1238
8490	46
8506	388
8508	79
8533	229
8550	713
8555	716
8557	33
8565	413
8567	223
8570	113
8616	161
8630	15
8650	11
8661	1
8662	126
8665	168
8673	37
8692	1
8693	165
8705	1
8708	76
8723	11
8726	34
8728	17
8736	41
8741	43
8746	77
8751	1
8752	12
8757	24
8762	70
8766	19
8767	37
8785	83
8786	69
8797	19
8801	19
8818	5
8820	35
8825	4
8840	3
8841	17
8854	2
8855	26
8868	6
8887	1
8901	11
8912	5
8938	2
8950	1
8955	25
8962	4
8964	3
8970	2
8982	180
8984	89
8985	114
8992	758
8995	23
9002	2
9007	417
9013	169
9014	107
9015	92
9022	417
9023	3
9025	2
9032	1
9037	235
9049	1
9056	6
9061	1
9066	2071
9067	732
9072	536
9074	10
9083	1
9085	699
9093	1
9096	1
9100	434
9110	2
9115	9
9117	138
9124	29
9125	1
9131	131
9132	54
9134	144
9137	852
9142	172
9147	2162
9148	314
9151	1
9152	23805
9158	379
9162	1
9163	1413
9165	103
9191	2825
9196	1
9200	400
9210	613
9211	130
9225	500
9226	450
9239	206
9250	58
9255	3
9260	1
9261	20
9271	1
9272	94
9277	250
9278	148
9279	92
9282	91
9284	58
9297	297
9299	205
9300	235
9305	26
9314	114
9328	59
9330	171
9336	106
9337	43
9338	31
9343	28
9348	335
9370	14
9376	39
9380	22
9386	6
9390	59
9394	25
9398	10
9404	54
9405	1
9406	28
9415	67
9420	5
9423	154
9433	268
9445	20
9450	788
9452	12
9453	1
9455	11
9460	29
9466	1
9468	30
9483	24
9484	16
9492	30
9493	31
9497	29
9508	2
9517	8
9518	9
9522	2
9553	2
9572	1
9586	3
9592	1
9598	33
9616	1
9623	24
9635	6
9644	3
9651	32
9652	3
9658	8
9667	2
9675	2
9682	11
9686	16
9690	43
9697	11
9711	52
9714	20
9716	11
9737	32
9747	16
9752	2
9753	15
9763	1
9769	44
9771	35
9772	4
9780	41
9787	40
9792	311
9794	10
9797	9
9803	12
9805	105
9806	3
9808	2
9812	89
9813	45
9818	37
9819	724
9823	59
9824	303
9825	68
9829	48
9830	173
9833	18
9834	71
9838	12
9843	11
9846	44
9848	132
9857	13
9862	2
9870	39
9885	28
9897	144
9898	473
9900	111
9902	26
9903	4
9908	22
9918	644
9934	342
9937	41
9966	176
9973	53
9974	25
9988	4
9989	25
9994	129
9995	62
10000	82
10001	60
10002	64
10008	47
10009	3
10013	26
10014	39
10015	71
10016	24
10020	43
10021	8
10022	27
10026	183
10031	11
10032	47
10042	45
10043	13
10048	56
10053	33
10055	6
10058	8
10063	101
10065	13
10066	1
10069	12
10071	2
10110	4
10120	7
10121	31
10122	9
10126	4
10132	2
10140	20
10142	2
10156	1
10160	2
10172	4
10204	3
10211	6
10221	12
10223	12
10226	2
10231	7
10256	2
10262	178
10263	4
10272	26
10277	64
10278	66
10282	42
10283	16
10293	19
10294	40
10295	76
10300	15
10319	22
10324	19
10334	17
10336	4
10348	25
10352	14
10353	8
10362	40
10365	10
10375	3
10379	44
10380	3
10385	46
10388	165
10389	2
10395	12
10400	101
10409	26
10410	171
10419	20
10429	100
10437	10
10442	11
10460	31
10471	22
10474	41
10476	6
10479	1
10481	29
10484	38
10495	26
10527	8
10534	2
10545	27
10568	1
10569	19
10574	5
10593	5
10595	4
10597	2
10607	5
10640	41
10645	7
10646	13
10655	1
10656	1
10669	8
10673	1
10674	4
10686	1
10688	4
10690	5
10708	9
10719	19
10725	1
10727	1
