Insertion,Frequency,Orientation
2702,3,plus
2759,7,plus
5321,4,minus
5332,1,minus
5337,3,minus
5344,3,minus
5373,85,plus
5376,5,minus
5381,12,minus
5386,85,minus
5386,563,plus
5393,311,plus
5401,15,minus
5401,362,plus
5403,1166,plus
5411,8,minus
5421,1,plus
5422,4381,plus
5423,5,minus
5427,3,minus
5429,487,plus
5435,4401,plus
5437,76,minus
5441,41,minus
5443,21,minus
5476,9,plus
5478,1,minus
5481,1495,plus
5489,29,minus
5490,32,minus
5497,9,minus
5502,8,minus
5510,104,plus
5517,6,plus
5518,55,minus
5519,189,plus
5526,5277,plus
5528,5,minus
5534,968,minus
5539,386,minus
5542,8,plus
5544,53,minus
5545,10,minus
5550,19,minus
5552,44,plus
5553,69,minus
5560,168,minus
5563,6,plus
5571,9,minus
5572,5,minus
5587,55,plus
5590,601,minus
5592,119,plus
5597,120,plus
5600,5,minus
5602,7,plus
5605,1260,minus
5607,459,plus
5610,915,minus
5615,1488,minus
5616,191,plus
5618,97,plus
5620,486,minus
5623,312,minus
5626,113,minus
5628,19,plus
5630,7,plus
5631,19,plus
5638,6,plus
5639,104,minus
5639,23,plus
5640,12,plus
5645,65,minus
5645,368,plus
5646,126,minus
5647,429,plus
5648,586,minus
5653,4342,minus
5655,1894,minus
5660,2,minus
5665,1233,minus
5666,1,minus
5677,23,minus
5687,90,plus
5692,206,plus
5701,86,plus
5706,136,minus
5709,3003,minus
5711,10289,minus
5711,131,plus
5719,2,minus
5721,43,plus
5724,69,minus
5727,1,plus
5728,4,plus
5729,746,minus
5732,22,plus
5734,1928,minus
5735,303,minus
5736,196,minus
5738,59,minus
5740,1287,minus
5745,419,minus
5745,112,plus
5746,37,plus
5747,18,plus
5753,7181,minus
5755,90,minus
5755,238,plus
5760,58,plus
5763,1,minus
5764,1,minus
5772,3,plus
5777,35,plus
5778,1,minus
5780,2,minus
5787,37,plus
5793,25,plus
5795,5933,minus
5795,553,plus
5796,4850,minus
5796,98,plus
5797,1,minus
5801,2,minus
5803,8647,minus
5803,186,plus
5804,14026,minus
5806,722,minus
5808,36,plus
5811,11054,minus
5816,7127,minus
5816,15,plus
5821,1,minus
5821,179,plus
5824,3313,minus
5827,1,minus
5829,37849,minus
5830,2,minus
5831,23,plus
5846,114,minus
5847,8822,minus
5848,1,minus
5865,386,minus
5867,11,plus
5875,5836,minus
5876,113,minus
5884,20,plus
5885,14,plus
5887,10929,minus
5888,1,minus
5889,3,plus
5892,14,plus
5893,6918,minus
5894,2,minus
5894,1,plus
5902,3965,minus
5915,5533,minus
5928,4,plus
5930,51,plus
5936,51,plus
5943,12,minus
5944,40,minus
5949,20,plus
5951,7,minus
5953,13,plus
5954,69,plus
5959,62,plus
5964,202,plus
5966,8,minus
5972,31,minus
5978,8,minus
5979,13,plus
6028,18,plus
6036,61,minus
6037,172,minus
6045,37,plus
6052,5,plus
6060,35,minus
6105,2,minus
6106,25,plus
6139,32,minus
6165,2,minus
6192,126,minus
6196,1,minus
6214,58,minus
6225,30,minus
6230,14,minus
6244,390,minus
6248,1,plus
6256,12,minus
6274,1,minus
6281,625,minus
6293,2,minus
6318,108,minus
6321,3,plus
6353,1,plus
6449,10,minus
6450,1,minus
6468,19,minus
6476,4,plus
6497,10,plus
6505,36,minus
6521,30,minus
6551,5,minus
6569,8,minus
6571,26,minus
6612,82,minus
6668,30,minus
6734,81,minus
6739,16,minus
6773,1,plus
6786,121,minus
6800,4,plus
6806,76,minus
6834,207,minus
6860,17,plus
6893,2,plus
6956,64,plus
6964,8,minus
7001,1,plus
7013,5,plus
7039,5,minus
7079,36,minus
7110,1,minus
7139,1,plus
7151,107,minus
7175,17,minus
7180,24,plus
7188,1,minus
7270,5,plus
7285,218,plus
7292,78,plus
7300,17,minus
7314,6,plus
7316,1,plus
7323,13,plus
7325,10,plus
7326,1,plus
7331,23,plus
7341,6,minus
7360,2,plus
7366,1,minus
7368,1,minus
7396,3,minus
7461,49,plus
7464,132,minus
7469,16,minus
7476,2,plus
7483,2,plus
7484,48,minus
7487,5,plus
7488,21,plus
7495,1,minus
7496,227,minus
7500,2,plus
7505,42,plus
7508,126,minus
7513,16,minus
7528,8,plus
7543,4,plus
7551,52,minus
7574,9,minus
7580,40,minus
7582,2,plus
7590,101,minus
7625,8,minus
7648,1,plus
7666,82,minus
7672,143,minus
7676,1,minus
7682,2,minus
7711,3,minus
7742,13,plus
7744,17,minus
7761,23,plus
7777,19,minus
7791,11,minus
7808,69,minus
7808,23,plus
7826,2089,minus
7843,16,plus
7851,319,minus
7855,3,minus
7911,3,plus
7913,3,plus
7936,14,minus
7943,5,plus
7948,1,plus
7951,7,minus
7953,9,plus
7956,231,minus
7961,38,minus
7977,29,minus
7987,1,minus
8005,11,minus
8007,1,plus
8024,179,minus
8049,38,minus
8065,11,plus
8070,3,plus
8073,15,minus
8078,154,minus
8079,23,minus
8107,227,minus
8113,46,minus
8132,26,plus
8136,52,minus
8140,43,minus
8150,902,minus
8193,17,plus
8226,1,plus
8232,47,plus
8240,24,minus
8246,28,plus
8262,8,minus
8267,112,minus
8268,1,plus
8322,247,plus
8330,224,minus
8341,8,minus
8342,41,minus
8343,10,minus
8352,31,minus
8382,11,plus
8394,19,plus
8399,19,plus
8401,8,minus
8402,19,minus
8407,30,minus
8412,219,minus
8419,11,minus
8437,22,plus
8445,83,minus
8458,32,plus
8466,38,minus
8468,105,plus
8473,1483,plus
8481,490,minus
8506,40,minus
8533,246,minus
8538,65,minus
8542,99,plus
8547,858,plus
8549,26,plus
8550,2,minus
8555,1,minus
8557,47,minus
8557,4,plus
8559,70,plus
8560,14,minus
8564,28,plus
8570,31,minus
8572,80,minus
8593,1941,plus
8616,18,minus
8618,8,minus
8621,221,plus
8625,19,minus
8629,1142,minus
8642,231,plus
8644,1,plus
8650,2,minus
8654,109,plus
8655,12,plus
8657,48,plus
8662,455,minus
8665,96,minus
8666,14,plus
8685,206,plus
8686,96,plus
8691,2,plus
8693,306,minus
8697,21,plus
8699,2,minus
8700,58,plus
8708,34,minus
8717,122,plus
8728,14,plus
8738,11,plus
8744,68,plus
8746,9,minus
8754,14,plus
8756,92,minus
8759,17,plus
8762,128,minus
8764,1,plus
8766,13,minus
8767,42,minus
8770,16,minus
8777,44,plus
8778,17,plus
8783,12,plus
8784,9,plus
8785,448,minus
8786,52,minus
8789,87,plus
8792,9,minus
8793,6,plus
8797,9,minus
8802,12,plus
8803,10,plus
8806,20,minus
8807,11,minus
8811,1,minus
8833,2,plus
8840,297,minus
8847,8,plus
8855,30,minus
8859,9,minus
8860,2,plus
8868,43,minus
8889,2,plus
8897,23,minus
8898,1,plus
8901,1,minus
8903,3,plus
8904,1,plus
8908,5,plus
8937,19,minus
8938,45,minus
8947,2,plus
8954,2075,minus
8955,7,minus
8956,15,minus
8957,30,plus
8962,1,plus
8969,8,minus
8970,84,minus
8971,15,plus
8974,6,plus
8977,97,plus
8984,1664,plus
8989,7,plus
8992,871,minus
8994,316,plus
8995,24,plus
8999,166,plus
9001,9,minus
9005,1,plus
9006,539,plus
9008,87,plus
9013,29,minus
9014,2,plus
9015,178,plus
9018,290,plus
9024,445,plus
9025,323,minus
9026,1111,minus
9028,1,minus
9029,26,plus
9033,9,minus
9037,5,minus
9041,11,plus
9048,3,plus
9053,71,plus
9056,97,minus
9056,1013,plus
9058,242,plus
9059,46,minus
9059,49,plus
9064,12,minus
9064,1190,plus
9066,436,minus
9066,8,plus
9071,190,plus
9072,37,minus
9075,12,plus
9077,517,plus
9081,36,minus
9084,34,minus
9085,91,minus
9088,101,plus
9092,282,plus
9109,3,plus
9114,9,plus
9117,148,plus
9118,27,plus
9124,39,minus
9124,163,plus
9126,260,plus
9129,81,plus
9132,11,minus
9134,51,minus
9134,786,plus
9139,206,plus
9142,1,plus
9143,46,minus
9143,2,plus
9144,52575,plus
9147,55,minus
9150,427,plus
9152,870,minus
9153,4,minus
9155,886,plus
9157,1,minus
9157,150,plus
9158,11,minus
9163,35,minus
9164,208,minus
9165,34,minus
9168,683,plus
9169,10,plus
9173,401,plus
9175,138,minus
9178,66,plus
9183,1826,plus
9186,16,minus
9191,290,minus
9202,701,plus
9210,206,minus
9216,11,plus
9217,1173,plus
9218,292,plus
9224,34,minus
9226,23,minus
9231,387,plus
9239,47,minus
9240,45,minus
9247,152,plus
9252,323,plus
9261,36,plus
9262,1,minus
9263,142,plus
9264,183,plus
9269,5,plus
9271,40,plus
9281,12,plus
9289,713,plus
9291,2,minus
9291,236,plus
9292,13,plus
9297,8,minus
9297,20,plus
9300,12,minus
9305,1,minus
9306,1,plus
9318,2,plus
9322,447,plus
9327,21,plus
9330,5,minus
9330,129,plus
9335,61,plus
9338,1,minus
9339,33,plus
9340,356,plus
9343,2,minus
9347,15,plus
9348,49,minus
9348,59,plus
9349,45,plus
9357,13,minus
9359,6,plus
9362,1,minus
9363,4,minus
9367,3,minus
9370,11,minus
9372,16,plus
9379,2,plus
9380,6,minus
9382,144,plus
9386,5,plus
9387,5,minus
9387,13,plus
9390,69,minus
9393,58,plus
9394,4,minus
9396,53,plus
9397,3,plus
9400,10,plus
9404,137,minus
9405,24,minus
9407,89,plus
9408,1,minus
9412,1,plus
9415,79,minus
9415,50,plus
9422,73,minus
9423,164,minus
9425,198,plus
9433,188,minus
9440,10,minus
9442,825,plus
9444,50,plus
9445,34,minus
9447,19,minus
9450,2655,minus
9452,202,minus
9452,33,plus
9453,3,minus
9453,1,plus
9460,62,minus
9460,16,plus
9466,21,minus
9468,89,minus
9479,3,plus
9483,1,minus
9484,600,minus
9484,6,plus
9485,10,plus
9487,60,minus
9489,101,plus
9492,88,minus
9493,66,minus
9497,310,minus
9500,2,plus
9502,153,minus
9509,8,plus
9510,4,plus
9514,1,plus
9517,151,minus
9517,2,plus
9518,104,minus
9528,6,minus
9532,1,minus
9541,122,minus
9544,1,plus
9546,46,minus
9553,14,minus
9564,91,minus
9577,6,plus
9584,163,minus
9590,15,plus
9598,684,minus
9606,16,minus
9623,126,minus
9630,17,minus
9633,32,plus
9635,57,minus
9645,15,plus
9648,29,plus
9651,431,minus
9659,1,plus
9666,2,minus
9675,161,minus
9676,221,minus
9677,2,plus
9681,165,minus
9682,1,minus
9682,114,plus
9684,5,plus
9685,5489,minus
9689,4302,minus
9689,5,plus
9690,1245,minus
9692,47,minus
9696,2,plus
9697,2297,minus
9700,241,minus
9702,3,plus
9703,1,plus
9704,188,minus
9706,18,plus
9708,1,minus
9710,4856,minus
9711,212,minus
9714,7,minus
9716,547,minus
9717,1114,minus
9727,483,minus
9729,14,minus
9729,45,plus
9735,447,minus
9737,2265,minus
9739,35,plus
9740,5,plus
9742,59,minus
9744,10,plus
9745,23,plus
9746,715,minus
9747,2426,minus
9748,1126,minus
9752,1221,minus
9753,592,minus
9754,5,plus
9757,447,minus
9758,1,minus
9761,8,plus
9763,6,plus
9764,10,plus
9765,59,plus
9769,1012,minus
9771,2974,minus
9772,539,minus
9774,77,plus
9777,4722,minus
9778,1,minus
9779,952,minus
9779,14,plus
9782,935,minus
9784,139,plus
9786,12,plus
9787,551,minus
9789,17,plus
9792,35714,minus
9794,9548,minus
9795,4,plus
9796,519,minus
9797,1546,minus
9797,254,plus
9801,355,minus
9804,57,plus
9805,88,minus
9805,4,plus
9806,1319,minus
9807,238,minus
9808,1968,minus
9810,258,minus
9811,1078,plus
9812,1,minus
9813,3917,minus
9815,102,plus
9816,40,plus
9818,2973,minus
9818,3,plus
9819,46411,minus
9820,3,minus
9820,34,plus
9822,2,plus
9823,2333,minus
9824,2426,minus
9825,637,minus
9825,143,plus
9826,455,minus
9826,33,plus
9827,2,plus
9828,2037,minus
9829,782,minus
9830,238,minus
9830,3,plus
9831,2,plus
9833,48,minus
9834,84,minus
9835,41,minus
9838,1423,minus
9844,13335,minus
9845,369,minus
9848,85,minus
9849,37,plus
9857,696,minus
9862,512,plus
9867,28,plus
9870,87,minus
9871,6,plus
9872,1,plus
9877,2,plus
9889,66,plus
9890,65,plus
9892,13,plus
9894,44,plus
9895,1,minus
9895,1,plus
9897,165,minus
9898,150,minus
9900,1,plus
9902,1,minus
9903,16,minus
9905,290,plus
9908,73,minus
9908,39,plus
9910,317,plus
9918,266,minus
9921,11,plus
9925,1,minus
9926,43,plus
9934,38,minus
9937,46,minus
9958,157,plus
9959,8,plus
9965,5,plus
9966,76,minus
9968,42,minus
9970,73,plus
9977,47,minus
9978,71,minus
9980,2,plus
9981,18,plus
9986,97,plus
9987,43,plus
9988,12,minus
9988,6,plus
9989,3,minus
9992,27,plus
9993,103,plus
9994,39,minus
9994,22,plus
9995,51,minus
9998,7,plus
9999,45,plus
10000,5,minus
10000,49,plus
10001,50,minus
10002,3,minus
10006,22,minus
10006,26,plus
10007,118,plus
10008,26,minus
10008,1,plus
10012,11,minus
10012,20,plus
10013,36,minus
10014,54,minus
10015,49,minus
10016,5,minus
10017,73,plus
10018,74,plus
10020,5,minus
10023,1,plus
10024,24,plus
10025,10,minus
10026,65,minus
10031,136,minus
10032,82,minus
10034,4,plus
10036,1,plus
10038,2,minus
10040,72,plus
10042,23,minus
10045,6,plus
10047,9,plus
10048,46,minus
10053,70,minus
10055,5,plus
10057,7,plus
10063,140,minus
10064,11,minus
10069,3,minus
10108,1,plus
10112,1,plus
10113,21,plus
10114,6,plus
10120,107,minus
10121,178,minus
10122,1,minus
10124,13,minus
10124,2,plus
10126,11,minus
10131,67,minus
10132,119,minus
10138,1,plus
10142,110,minus
10148,4,plus
10156,84,minus
10164,32,plus
10165,30,minus
10169,2,plus
10172,274,minus
10177,208,minus
10192,1,plus
10195,1,plus
10201,29,plus
10202,19,minus
10202,11,plus
10203,3,plus
10209,1,minus
10210,1301,minus
10211,423,minus
10213,17,plus
10219,1,minus
10220,16,plus
10221,105,minus
10228,33,minus
10249,1,plus
10253,4,minus
10254,572,plus
10256,1,minus
10257,128,minus
10259,7,plus
10262,1256,minus
10263,42,minus
10264,1,plus
10269,7,plus
10270,41,minus
10270,19,plus
10272,9,minus
10274,21,plus
10277,16,minus
10282,15,minus
10283,7,minus
10285,63,plus
10286,16,plus
10287,21,plus
10292,25,plus
10293,19,minus
10294,85,minus
10295,245,minus
10305,8,minus
10311,13,plus
10316,1,plus
10319,244,minus
10324,38,minus
10326,1,plus
10340,78,plus
10343,2,minus
10344,1,plus
10348,5,minus
10353,19,minus
10354,11,plus
10357,6,plus
10362,2,minus
10367,46,plus
10372,118,minus
10375,6,minus
10380,231,plus
10385,12,minus
10388,54,minus
10390,14,minus
10392,102,plus
10400,463,minus
10402,59,plus
10410,24,minus
10411,1,plus
10416,104,plus
10421,2,plus
10424,8,plus
10429,20,minus
10429,14,plus
10434,148,minus
10434,124,plus
10442,68,minus
10442,29,plus
10447,3,plus
10450,116,minus
10451,2,plus
10452,2,plus
10460,191,minus
10466,2,plus
10473,8,plus
10474,159,minus
10476,6,plus
10481,1050,minus
10485,30,plus
10519,13,plus
10535,104,minus
10537,26,minus
10540,82,minus
10545,154,minus
10561,32,plus
10571,2,plus
10584,2,plus
10585,2,plus
10600,1,plus
10607,17,minus
10628,10,minus
10632,5,plus
10640,17,minus
10661,1,plus
10669,9,minus
10680,19,plus
10682,1,plus
10686,14,plus
10693,26,plus
10701,25,minus
10708,3,minus
10711,15,plus
10718,5,minus
10721,6,plus
10725,1,minus
10726,31,plus
10727,16,minus
10734,4,minus
10739,9,minus
10762,1,minus
10800,10,minus
10838,23,plus
10843,102,plus
10844,204,plus
10851,106,minus
10854,2,plus
10861,108,plus
10862,59,plus
10866,100,plus
10868,138,plus
10869,31,minus
10898,31,minus
10913,5,plus
10916,7,minus
10921,3,minus
10938,13,plus
10940,5,minus
10941,1,plus
10952,102,plus
10953,3,minus
10961,12,minus
10962,48,plus
10968,8,minus
10970,54,minus
10979,118,plus
10980,91,minus
10987,177,minus
10987,12,plus
10989,653,plus
10995,26,minus
10997,135,minus
11008,1,plus
11016,74,minus
11023,1,plus
11030,18,minus
11037,22,plus
11042,81,plus
11045,193,minus
11050,4,minus
11057,982,plus
11062,216,plus
11065,21,minus
11070,341,plus
11072,551,plus
11078,157,plus
11080,2,minus
11082,18,plus
11083,88,plus
11086,97,minus
11088,2941,plus
11090,39,minus
11094,1,plus
11096,279,minus
11102,10,minus
11103,112,minus
11103,404,plus
11109,158,minus
11111,108,minus
11112,97,plus
11117,34,minus
11119,21,plus
11120,6,minus
11125,104,minus
11127,45,plus
11134,1,minus
11134,8,plus
11136,263,plus
11139,49,minus
11144,981,minus
11145,1,minus
11149,1,minus
11150,231,plus
11158,187,minus
11158,1299,plus
11160,445,plus
11163,12,minus
11166,1199,minus
11168,315,minus
11173,1864,plus
11181,3632,minus
11188,1,minus
11193,10,plus
11196,94,minus
11196,25,plus
11197,1,minus
11200,55,plus
11205,513,plus
11206,5,plus
11208,50,minus
11213,1880,minus
11213,407,plus
11214,142,minus
11221,172,minus
11221,105,plus
11229,2,minus
11231,83,plus
11236,27,plus
11241,17,plus
11251,2,plus
11255,39,plus
11256,948,plus
11259,9,minus
11263,2,minus
11263,7,plus
11264,1,minus
11268,2,plus
11273,486,plus
11274,49,plus
11279,28,plus
11280,165,plus
11281,16,minus
11282,2,minus
11284,18,plus
11293,9,plus
11300,2,plus
11303,1,plus
11310,168,plus
11315,64,plus
11318,10,minus
11321,61,plus
11332,118,plus
11340,20,plus
11341,73,plus
11348,45,minus
11386,64,plus
11387,4,minus
11387,36,plus
11389,3,minus
11394,3,minus
11395,30,minus
11400,17,plus
11424,3,plus
11425,3,plus
11431,12,plus
11435,16,plus
11437,2,plus
11443,9,minus
11444,1,plus
11445,2,plus
11448,1,minus
11450,1,plus
11452,2,plus
11453,31,minus
11458,3,plus
11460,3,minus
11462,2,plus
11463,3,plus
11466,1,plus
11468,7,minus
11479,22,plus
11491,1,plus
11504,22,plus
11511,51,plus
11512,12,minus
11519,31,minus
11519,1,plus
11526,1,plus
11530,2,plus
11550,33,plus
11558,2,minus
11558,6,plus
11565,1,plus
11575,17,plus
11580,17,plus
11584,6,plus
11588,5,minus
11592,2,minus
11597,1,plus
11604,108,plus
11609,12,plus
11612,118,minus
11619,1,plus
11622,46,minus
11627,1,minus
11657,42,plus
11682,54,plus
11686,1,plus
11689,27,minus
11690,12,minus
11692,90,plus
11700,11,minus
11710,11,plus
11714,93,plus
11716,2,minus
11730,17,plus
11741,56,plus
11766,1,plus
11782,165,plus
11789,32,plus
11790,10,plus
11797,9,plus
11798,223,minus
11807,270,plus
11808,45,plus
11817,322,plus
11823,64,plus
11824,191,plus
11836,103,plus
11837,882,plus
11841,2,plus
11842,3037,plus
11844,1,plus
11847,630,plus
11849,15,plus
11850,58,plus
11856,218,plus
11857,586,plus
11865,2,plus
11869,1,plus
11881,392,plus
11887,19,plus
11891,13,plus
11898,159,plus
11900,97,plus
11904,3,plus
11908,43,plus
11911,140,plus
11913,2379,plus
11914,89,plus
11919,146,plus
11928,1,plus
11929,13,plus
11930,99,plus
11934,250,plus
11956,206,plus
11963,1,plus
11971,12,plus
11978,43,plus
11983,46,plus
11995,49,plus
12002,34,plus
12013,18,plus
12020,83,plus
12038,400,plus
12046,1,minus
12051,6,plus
12061,249,plus
12072,74,plus
12074,108,plus
12084,59,plus
12092,1,minus
12100,30,plus
12107,64,plus
12109,46,plus
12129,6,minus
12148,2,minus
12151,2,plus
12165,14,minus
12176,1,plus
12185,7,minus
12193,100,plus
12210,24,minus
12230,9,minus
12231,7,plus
12265,8,plus
12273,10,minus
12278,3,minus
12409,97,plus
12451,38,plus
12461,107,minus
12490,13,plus
12539,48,plus
12614,13,plus
12688,100,minus
12697,4,minus
12712,3,minus
12790,34,minus
12797,1,minus
12833,3,minus
12840,2,minus
12851,17,minus
12853,1,plus
12856,6,minus
12868,3,plus
12892,51,minus
12944,8,minus
12946,18,minus
12953,5,plus
12960,1,plus
12961,40,minus
12963,49,minus
12978,42,minus
13009,75,minus
13014,142,minus
13016,4,plus
13024,258,minus
13049,55,minus
13132,295,plus
13133,60,plus
13146,40,plus
13164,1,plus
13344,4,minus
13400,1,minus
13452,53,minus
13487,1,minus
13532,98,minus
13580,1,minus
13632,1,minus
13716,4,minus
13722,5,minus
13778,11,minus
13848,8,plus
13884,46,plus
13887,3,minus
13924,4,minus
13988,5,minus
14063,1,plus
14071,6,minus
14184,4,plus
14230,1,plus
14332,8,plus
14350,5,plus
14409,1,plus
14428,12,plus
14458,3,plus
14573,94,plus
14579,13,minus
14581,1,minus
14581,92,plus
14583,1,plus
14589,7,minus
14613,4,minus
14625,12,plus
14631,2,plus
14636,55,plus
14655,14,plus
14671,6,plus
14674,1,minus
14691,1,plus
14696,195,plus
14703,94,plus
14704,1,minus
14708,9,plus
14713,24,plus
14721,27,minus
14730,15,minus
14757,16,plus
14772,3,plus
14786,19,plus
14799,9,plus
14809,1,plus
14826,39,minus
14830,18,plus
14851,3,plus
14854,119,minus
14855,85,minus
14857,129,minus
14888,1,minus
14890,6,plus
14902,4,plus
14904,16,minus
14910,1,minus
14928,17,plus
14961,2,plus
14969,1,minus
14992,1,plus
15045,1,plus
15105,1,plus
15218,71,minus
15219,1,minus
15268,98,minus
16001,4,plus
16223,13,plus
16694,2,plus
16912,17,plus
17240,5,plus
17488,139,plus
18270,1,minus
18359,3,minus
18603,216,plus
18641,4,plus
19238,17,minus
19313,1,minus
19511,13,minus
20363,10,minus
20914,2,minus
20927,3,minus
21072,3,minus
21098,1,minus
21101,106,plus
21109,84,minus
21203,1,minus
21213,39,minus
21236,56,minus
21290,9,plus
21375,20,plus
21671,27,minus
21991,64,plus
22400,109,minus
22488,10,minus
23074,1,plus
23173,1,minus
23185,22,minus
23423,8,minus
23642,2,plus
23698,14,plus
23922,26,plus
23930,2,minus
24200,1,minus
24609,3,plus
24944,1,minus
25441,2,plus
27901,6,minus
28121,2,plus
28758,45,minus
29070,50,plus
29214,1,plus
29229,1,minus
29440,16,plus
29448,1,minus
29524,121,plus
29741,122,plus
29785,46,plus
30941,15,minus
30943,9,minus
30954,18,minus
30969,22,minus
30985,7,minus
31056,15,plus
31129,1,minus
31266,39,plus
31274,6,minus
31381,15,plus
31415,6,plus
31500,6,plus
31618,2,plus
32608,48,minus
32927,47,minus
34120,5,plus
34138,1,minus
34740,1,plus
34748,15,minus
34810,5,minus
35089,50,minus
35232,3,plus
35234,49,plus
35257,2,minus
35949,4,minus
36106,14,plus
36177,260,minus
36184,1,plus
36308,3,plus
36582,47,plus
36643,16,plus
36683,22,plus
36797,14,plus
36956,21,plus
36973,4,plus
37404,15,plus
37496,1,plus
37729,119,minus
37779,119,plus
38500,100,minus
38607,1,plus
40351,70,minus
40429,1,minus
40846,39,plus
40871,56,plus
41650,1,minus
42069,4,minus
42094,2,minus
42200,3,minus
42217,1,minus
42405,2,plus
43245,2,minus
43270,1,minus
43332,5,plus
43333,2,minus
43529,87,minus
43641,199,minus
43644,161,minus
43676,8,minus
43677,9,minus
43803,14,minus
43814,3,plus
43815,315,minus
43817,125,plus
43830,1,minus
43890,1,minus
43893,1,plus
43946,27,minus
43951,7,minus
43970,12,minus
44016,88,plus
44039,748,plus
44120,2,minus
44129,53,plus
44135,28,minus
44140,1,plus
44153,68,plus
44169,6,plus
44170,2389,plus
44178,289,minus
44212,1,minus
44227,32,plus
44280,4,minus
44285,36,minus
44309,5,minus
44321,11,plus
44324,1,minus
44331,3,minus
44348,1,plus
44355,130,minus
44371,56,plus
44374,9,minus
44379,1350,minus
44412,1,plus
44420,28,minus
44465,2,plus
44483,1,plus
44484,3,plus
44491,1,minus
44538,9,minus
44669,82,plus
44674,33,minus
44682,15,minus
44684,87,plus
44761,33,minus
44775,7,minus
44806,107,minus
44807,84,plus
44808,9,minus
44822,49,plus
44830,21,minus
44836,81,plus
44838,1,plus
44844,68,minus
44845,22,minus
44864,6,minus
44867,3,plus
44877,13,minus
44899,10,minus
44946,18,plus
45020,24,plus
45022,3,plus
45030,9,plus
45036,1,plus
45043,1,minus
45049,9,minus
45169,13,minus
45207,15,plus
45224,8,plus
45243,38,plus
45251,22,minus
45272,9,minus
45300,2,plus
45368,10,minus
45388,2,plus
45394,72,plus
45433,1,plus
45456,1,plus
45594,1,plus
45628,3,plus
45643,2,plus
46360,17,plus
46542,2,plus
47159,9,plus
47514,33,minus
47581,4,minus
47743,3,plus
47916,1,plus
47936,115,plus
47975,15,minus
47980,49,minus
48035,3,plus
48088,1,minus
48139,5,minus
51230,2,plus
51964,5,minus
53479,1,plus
53548,14,plus
53581,1,minus
56848,7,minus
57576,3,minus
58766,1,minus
61204,99,minus
61372,3,plus
61521,19,plus
66461,21,plus
68676,46,plus
68677,2,minus
68728,4,minus
71313,62,minus
73827,1,plus
75059,11,minus
78461,3,minus
80190,1,plus
80191,19,minus
80964,18,plus
81064,4,plus
81368,1,plus
83763,1,minus
84229,4,plus
84282,1,minus
84795,4,minus
86894,4,minus
89933,71,minus
90167,17,plus
90175,1,minus
90179,49,plus
90228,2,plus
90350,37,plus
90414,1,minus
90582,3,plus
91280,1,minus
91467,35,minus
91535,101,minus
91607,1,minus
91657,58,plus
91693,29,plus
91905,20,plus
91912,21,plus
92348,23,plus
93232,14,plus
94391,13,plus
94642,1,plus
95018,3,minus
95169,55,minus
95197,6,minus
95230,2,minus
95310,26,minus
95768,15,minus
95859,2,plus
95886,4,plus
96055,1,plus
96091,2,plus
96241,1,minus
96264,4,minus
96434,72,plus
96436,30,plus
96442,11,minus
96455,1,plus
96797,3,minus
96916,7,minus
96928,78,minus
96984,43,minus
96995,1,minus
97018,75,minus
97081,1,plus
99850,12,minus
99995,1,plus
100492,1,plus
100999,16,plus
101501,27,minus
101755,11,plus
101770,19,plus
102852,3,plus
104697,15,plus
106010,55,minus
106067,2,plus
106072,1,plus
106171,87,minus
106455,2,minus
106804,29,plus
107257,18,plus
107620,9,plus
108231,21,plus
108763,1,minus
109475,7,plus
109851,5,plus
111584,54,minus
111608,9,minus
111692,2,minus
111796,7,minus
112326,1,minus
112456,26,minus
112501,7,minus
112635,1,plus
115677,14,minus
115811,37,plus
115933,2,minus
116280,45,plus
117349,1,minus
117380,227,minus
117605,10,plus
117632,389,minus
117757,1,minus
117780,9,plus
117796,3,plus
118136,1,plus
118177,48,plus
118188,124,plus
118196,36,minus
118210,1,plus
