Insertion,Orientation,Frequency
1417,plus,19
1456,plus,20
1466,plus,16
1481,plus,7
1493,plus,5
2621,plus,1
2624,minus,3
2654,plus,3
2677,plus,1
2702,plus,2
2725,plus,159
2735,plus,136
2736,plus,185
2738,plus,180
2743,minus,4
2746,plus,62
2757,plus,322
2759,plus,163
2772,plus,212
2779,plus,22
2784,plus,20
2809,plus,5
5274,plus,16
5284,minus,14
5320,minus,8
5321,minus,23
5323,plus,2
5324,plus,4
5329,plus,9
5330,plus,4
5331,minus,11
5332,minus,39
5335,plus,61
5337,minus,17
5338,minus,22
5341,plus,6
5343,minus,49
5343,plus,10
5344,minus,2
5348,minus,3
5348,plus,11
5349,minus,67
5350,minus,28
5351,minus,10
5353,plus,31
5355,minus,11
5361,minus,74
5368,plus,858
5373,plus,3721
5376,minus,70
5378,plus,180
5381,minus,124
5386,minus,11
5386,plus,1340
5393,plus,4083
5394,plus,2191
5400,minus,2
5401,minus,359
5401,plus,114
5402,minus,48
5403,plus,388
5409,minus,69
5410,minus,11
5411,minus,29
5411,plus,108
5415,plus,133
5416,plus,709
5418,minus,94
5419,minus,9
5422,plus,293
5423,minus,31
5427,minus,11
5429,plus,1951
5435,plus,3096
5437,minus,307
5441,minus,88
5443,minus,240
5447,plus,255
5469,minus,8
5470,plus,47
5471,plus,93
5476,plus,41
5478,minus,22
5479,minus,15
5481,plus,3056
5482,plus,395
5488,plus,3
5489,minus,519
5490,minus,261
5494,plus,43
5495,plus,503
5496,minus,4
5497,minus,206
5502,minus,319
5502,plus,160
5503,plus,248
5504,minus,4
5509,minus,67
5510,plus,205
5511,plus,65
5512,plus,339
5516,plus,21
5517,minus,1
5517,plus,169
5518,minus,767
5519,minus,192
5519,plus,421
5520,minus,82
5520,plus,1524
5522,plus,358
5523,plus,1
5525,minus,357
5526,plus,22086
5528,minus,322
5530,minus,31
5531,plus,321
5534,minus,12961
5535,minus,166
5537,plus,507
5539,minus,332
5541,plus,103
5542,plus,48
5544,minus,230
5545,minus,34
5545,plus,18
5550,minus,148
5550,plus,27
5552,minus,349
5552,plus,228
5553,minus,210
5557,minus,210
5560,minus,730
5562,plus,1
5563,plus,497
5571,minus,400
5572,minus,116
5575,minus,93
5577,plus,56
5582,plus,404
5587,plus,72
5590,minus,1704
5591,plus,20
5592,minus,1
5592,plus,443
5595,minus,37
5596,minus,321
5597,plus,965
5599,plus,62
5600,minus,1846
5602,plus,202
5605,minus,5007
5607,plus,1161
5610,minus,4034
5612,plus,84
5615,minus,3147
5616,plus,345
5617,minus,567
5617,plus,27
5618,plus,269
5620,minus,1188
5623,minus,696
5624,minus,1031
5625,minus,860
5626,minus,387
5628,minus,5
5628,plus,103
5630,plus,34
5631,plus,17
5638,minus,1512
5638,plus,131
5639,minus,1935
5639,plus,509
5640,plus,281
5645,minus,736
5645,plus,187
5646,minus,1230
5647,minus,298
5647,plus,1363
5648,minus,1159
5652,plus,98
5653,minus,3107
5654,minus,2
5655,minus,7348
5656,plus,112
5657,plus,1033
5660,minus,363
5665,minus,2232
5666,minus,1
5672,minus,108
5675,plus,3000
5676,plus,669
5677,minus,24
5683,minus,1136
5684,minus,2
5686,plus,177
5687,plus,114
5692,plus,1240
5694,minus,91
5695,minus,248
5698,plus,15
5700,minus,1890
5701,plus,675
5705,minus,375
5706,minus,174
5709,minus,12768
5710,minus,2
5711,minus,1029
5711,plus,1454
5716,plus,585
5719,minus,2270
5721,plus,309
5724,minus,1449
5727,plus,182
5728,plus,309
5729,minus,3130
5730,plus,433
5732,plus,1111
5734,minus,886
5735,minus,5006
5736,minus,3012
5737,plus,268
