Insertion	Frequency
5313	4
5323	3
5329	2
5330	3
5336	1
5341	2
5353	1
5368	4
5373	10
5378	34
5393	31
5394	1
5401	1
5403	1
5410	20
5415	11
5419	1
5429	93
5433	4
5435	19
5471	1
5481	58
5482	18
5489	1
5494	15
5501	8
5510	59
5512	2
5517	16
5520	12
5522	2
5526	1334
5531	224
5536	38
5537	10
5542	30
5544	6
5545	33
5552	43
5563	31
5567	6
5582	313
5587	6
5588	20
5592	37
5597	1032
5602	861
5607	911
5609	22
5612	150
5615	207
5616	48
5617	34
5618	31
5630	31
5631	166
5637	62
5638	43
5639	56
5640	136
5645	2651
5647	1572
5652	126
5657	322
5669	32
5675	24
5692	61
5698	63
5701	1973
5703	6190
5711	106
5716	74
5721	480
5722	1
5726	1740
5727	555
5728	291
5730	12
5732	1068
5737	89
5745	3834
5746	126
5747	214
5748	1
5750	19
5755	17
5756	123
5770	30
5772	23
5773	92
5778	91
5782	139
5787	2419
5788	2170
5793	144
5795	6943
5796	8645
5798	196
5803	6193
5808	6793
5813	428
5816	2837
5819	8
5821	14898
5827	1
5837	167
5838	199
5839	4404
5840	151
5857	1038
5867	3283
5868	269
5879	7708
5880	3
5884	68
5885	6474
5886	1
5894	3539
5907	3394
5928	1
5936	19
5943	6
5946	1
5964	16
5979	2
6026	4
6028	75
6029	63
6063	18
6095	2
6108	20
6123	21
6155	11
6178	15
6184	236
6188	2
6206	16
6217	187
6222	99
6236	393
6248	93
6273	393
6442	10
6460	3
6497	21
6498	1
6508	7
6513	26
6533	12
6538	12
6543	15
6558	1
6563	35
6604	20
6609	3
6626	5
6660	66
6726	24
6731	2
6767	169
6768	96
6778	4
6798	1
6800	17
6823	34
6826	8
7143	15
7180	1
7270	4
7292	19
7333	5
7360	1
7456	116
7461	2
7472	12
7476	19
7487	13
7488	100
7500	43
7543	26
7551	67
7556	43
7566	38
7572	23
7582	6
7613	9
7621	9
7653	3
7658	126
7664	143
7667	21
7668	2
7674	1
7703	1
7736	46
7742	9
7769	1
7771	41
7783	94
7798	3
7800	62
7818	1535
7820	1
7843	72
7847	9
7852	9
7900	2
7906	2
7928	72
7943	42
7948	36
7953	11
7958	26
7969	11
7997	14
8005	20
8016	51
8041	122
8065	24
8067	30
8070	184
8071	93
8094	12
8099	353
8106	38
8128	29
8132	232
8136	5
8142	317
8218	1
8232	10
8246	1
8254	44
8259	35
8268	8
8303	6
8322	269
8328	4
8333	12
8334	8
8335	6
8344	1
8368	2
8393	31
8394	62
8399	90
8404	114
8411	22
8430	3
8433	27
8437	150
8441	6
8442	6
8446	4
8448	13
8458	86
8473	502
8498	32
8525	253
8530	17
8541	3
8542	14
8547	2
8549	101
8552	9
8557	10
8562	11
8564	123
8593	9
8599	26
8608	41
8610	7
8613	66
8617	47
8621	861
8642	22
8650	1
8653	11
8654	284
8656	2
8657	47
8665	6
8667	1
8672	2
8685	161
8691	3
8700	18
8714	2
8715	1
8733	1
8738	180
8748	76
8754	38
8758	17
8759	17
8760	1
8762	3
8777	287
8778	84
8784	30
8789	26
8798	64
8799	3
8803	1
8805	7
8810	4
8817	53
8818	1
8832	80
8838	31
8847	144
8851	1
8859	5
8860	202
8889	1
8893	4
8895	9
8898	17
8904	4
8929	1
8930	5
8946	1363
8947	2
8948	1
8956	1
8961	1
8962	78
8971	245
8984	356
8993	26
8994	55
9005	692
9017	171
9018	458
9023	3
9025	16
9029	32
9033	9
9048	182
9051	59
9053	13
9056	12
9058	196
9064	10
9069	2
9071	2
9072	78
9077	92
9092	11
9106	8
9108	19
9109	8
9116	136
9123	1
9124	6
9126	2
9129	1
9135	12
9139	5
9144	424
9150	10
9155	185
9156	113
9157	3
9167	120
9178	2
9183	278
9202	119
9215	27
9216	6
9217	74
9218	85
9220	1
9231	87
9283	4
9289	5
9292	1
9297	2
9306	1
9322	71
9330	1
9335	1
9340	33
9349	4
9362	1
9372	2
9378	1
9379	10
9382	34
9386	5
9396	54
9397	10
9400	4
9404	1
9407	57
9414	29
9415	102
9425	115
9432	10
9437	36
9439	25
9442	1970
9444	94
9445	1
9447	2
9450	1
9452	64
9458	17
9460	84
9470	3
9475	23
9476	702
9479	67
9484	110
9485	51
9489	299
9494	138
9495	1
9500	1
9501	5
9502	3
9509	129
9510	117
9517	1
9520	4
9532	2
9533	72
9538	24
9543	4
9545	20
9549	1
9556	120
9559	2
9564	12
9566	4
9576	142
9578	9
9585	1
9590	747
9591	1
9592	2
9597	5
9608	4
9615	201
9622	12
9627	32
9634	7
9636	6
9637	34
9643	758
9648	134
9655	7
9658	5
9663	9
9667	323
9668	202
9673	213
9674	76
9677	4152
9678	12
9681	2756
9682	870
9684	24
9689	1743
9690	66
9692	107
9696	274
9700	3
9702	3906
9703	230
9704	77
9706	34
9708	479
9709	774
9719	354
9721	36
9727	424
9729	1705
9734	213
9738	429
9739	2263
9740	1836
9744	1605
9745	1463
9749	477
9755	1
9761	732
9763	2924
9764	437
9765	86
9769	2879
9771	1029
9774	438
9779	757
9784	27191
9786	6288
9788	427
9789	2499
9793	384
9795	29
9797	88
9798	1174
9799	602
9800	2187
9802	287
9804	181
9805	3898
9807	106
9808	1
9810	3550
9811	42442
9812	42
9815	1832
9816	3179
9817	263
9818	559
9820	3192
9821	1287
9822	591
9825	839
9826	204
9827	128
9830	2214
9836	7449
9837	266
9838	168
9840	179
9849	1568
9862	464
9887	15
9889	100
9890	95
9892	15
9894	16
9895	1
9900	45
9905	2
9908	22
9910	112
9926	18
9929	145
9958	549
9959	3
9960	5
9969	37
9970	9
9980	4
9981	1
9986	7
9987	40
9992	33
9993	24
9994	7
9998	41
10000	23
10004	1
10005	51
10006	32
10007	17
10008	3
10012	28
10013	4
10017	3
10018	79
