Insertion,Frequency,Orientation
1417,19,plus
2677,1,plus
2736,96,plus
2757,270,plus
5274,16,plus
5284,2,minus
5323,2,plus
5331,2,minus
5332,8,minus
5335,41,plus
5343,31,minus
5350,17,minus
5353,12,plus
5355,11,minus
5361,51,minus
5373,299,plus
5381,10,minus
5386,898,plus
5393,1,plus
5394,519,plus
5401,45,minus
5402,38,minus
5403,14,plus
5409,9,minus
5410,11,minus
5418,93,minus
5422,286,plus
5429,46,plus
5435,1455,plus
5481,88,plus
5489,87,minus
5495,300,plus
5502,142,minus
5502,9,plus
5510,13,plus
5518,453,minus
5519,43,minus
5520,705,plus
5525,99,minus
5526,5079,plus
5534,2331,minus
5535,166,minus
5539,252,minus
5541,85,plus
5544,185,minus
5557,107,minus
5560,307,minus
5562,1,plus
5563,113,plus
5590,519,minus
5592,84,plus
5596,23,minus
5597,120,plus
5600,433,minus
5602,173,plus
5605,78,minus
5610,398,minus
5615,425,minus
5616,1,plus
5623,695,minus
5624,536,minus
5625,6,minus
5628,5,minus
5631,2,plus
5638,1512,minus
5639,1107,minus
5640,43,plus
5647,180,plus
5648,1,minus
5653,1183,minus
5655,3,minus
5657,597,plus
5665,357,minus
5666,1,minus
5672,108,minus
5675,1237,plus
5676,665,plus
5683,1,minus
5692,817,plus
5695,213,minus
5700,1562,minus
5701,493,plus
5709,5235,minus
5711,5,minus
5721,4,plus
5724,22,minus
5728,195,plus
5729,2207,minus
5730,422,plus
5732,920,plus
5740,4585,minus
5742,1,minus
5745,273,plus
5746,56,plus
5753,3993,minus
5754,3,minus
5755,1218,minus
5758,1179,minus
5760,54,plus
5764,1,minus
5773,1451,minus
5778,3146,minus
5778,17,plus
5780,1,minus
5781,2476,minus
5782,22,plus
5783,480,plus
5787,3,plus
5790,102,minus
5791,1,minus
5795,1961,minus
5795,355,plus
5796,2964,plus
5803,15158,minus
5803,7,plus
5804,1976,minus
5806,1,minus
5808,223,plus
5811,5962,minus
5816,3799,minus
5821,1570,minus
5821,656,plus
5824,4,minus
5829,3948,minus
5834,37,plus
5839,1,plus
5847,1,minus
5848,1,minus
5867,34,plus
5875,2,minus
5879,117,plus
5884,2,plus
5885,191,plus
5887,7280,minus
5893,9847,minus
5894,2,minus
5894,14,plus
5902,6327,minus
5915,1,minus
5936,118,plus
5943,75,plus
5944,10,minus
5946,29,plus
5951,2,minus
5954,1,plus
5959,12,plus
5964,252,plus
5969,44,plus
5972,37,minus
6026,52,plus
6028,201,plus
6034,47,minus
6045,82,plus
6051,1,minus
6052,247,plus
6053,110,minus
6061,168,minus
6080,109,plus
6084,4,plus
6109,52,minus
6116,135,minus
6117,1,minus
6163,93,minus
6192,15,minus
6225,180,minus
6244,121,minus
6256,414,minus
6273,7,plus
6281,81,minus
6282,133,minus
6365,40,plus
6436,11,plus
6450,15,minus
6462,4,plus
6468,2,minus
6477,46,minus
6497,2,plus
6505,37,minus
6506,21,minus
6518,1,plus
6521,1,minus
6527,109,minus
6541,40,minus
6543,2,plus
6551,50,minus
6568,3,minus
6612,2,minus
6634,71,minus
6635,1,minus
6637,14,plus
6660,24,plus
6682,2,plus
6690,24,minus
6726,30,plus
6734,12,minus
6786,44,minus
6800,69,plus
6806,11,minus
6808,47,minus
6831,381,minus
6875,1,minus
6893,7,plus
6949,8,minus
6956,36,plus
6964,23,minus
6998,5,minus
7069,42,minus
7102,11,plus
7117,1,minus
7144,2,plus
7180,9,plus
7187,1,plus
7208,136,plus
7216,93,minus
7244,178,plus
7270,233,plus
7272,668,plus
7292,88,plus
7300,54,minus
7302,264,plus
7323,1,plus
7325,13,plus
7456,96,plus
7459,12,plus
7461,22,plus
7464,69,minus
7469,9,minus
7472,2,plus
7474,20,minus
7476,111,plus
7480,1,minus
7482,95,plus
7484,118,minus
7488,232,plus
7490,2,minus
7496,80,minus
7500,1,plus
7533,19,plus
7543,54,plus
7551,2,minus
7574,106,minus
7617,7,plus
7623,93,minus
7643,25,plus
7653,65,plus
7656,15,minus
7658,39,plus
7661,151,minus
7666,57,minus
7668,28,plus
7672,7,minus
7711,152,minus
7759,1,plus
7771,1,plus
7776,214,plus
7777,259,minus
7779,190,minus
7791,1051,minus
7798,61,plus
7808,502,minus
7811,15,minus
7826,295,minus
7837,1,plus
7861,3,plus
7913,1,plus
7936,446,minus
7943,24,plus
7951,956,minus
7977,499,minus
7987,833,minus
8000,121,minus
8005,999,minus
8013,410,minus
8024,18,minus
8041,45,plus
