Insertion	Frequency
5323	9
5329	12
5335	18
5336	2
5341	17
5342	11
5353	12
5368	30
5373	42
5393	86
5401	60
5429	112
5433	1
5435	66
5470	22
5471	3
5481	48
5482	157
5488	4
5489	127
5494	112
5509	1
5510	286
5511	94
5512	82
5517	258
5520	142
5522	30
5526	3976
5542	3
5544	64
5549	103
5567	93
5582	80
5588	37
5592	379
5597	944
5602	531
5607	620
5609	1
5612	5
5615	1
5617	853
5631	221
5637	309
5638	396
5640	369
5645	252
5647	2830
5657	2
5669	24
5687	35
5697	375
5698	160
5701	4812
5702	2
5703	1
5711	2029
5716	22
5721	176
5726	2
5727	1704
5730	181
5732	2174
5737	1516
5740	434
5745	1050
5755	861
5756	2024
5770	1147
5772	3090
5773	1
5777	718
5778	943
5787	188
5788	262
5793	1646
5795	20080
5796	8060
5803	1378
5808	1425
5813	1764
5814	1
5816	151
5819	1938
5821	3263
5829	425
5838	82
5840	7277
5867	1091
5868	4
5879	4003
5880	1
5885	1685
5889	22
5894	12021
5895	1
5907	388
5936	24
5943	25
5946	33
5949	12
5954	2
5958	8
5964	24
6028	22
6052	105
6059	14
6095	3
6101	37
6123	122
6178	42
6206	13
6217	47
6224	16
6227	140
6236	160
6248	247
6263	7
6266	38
6272	20
6294	1
6309	74
6321	1
6353	7
6357	8
6442	27
6447	10
6462	11
6469	4
6497	30
6543	31
6553	10
6563	45
6607	14
6609	204
6626	184
6627	12
6637	161
6642	51
6660	3
6661	1
6726	16
6731	37
6735	36
6760	408
6768	89
6777	135
6797	31
6815	33
6860	1
6956	21
6996	27
7031	7
7098	14
7169	1
7187	11
7244	8
7270	1
7290	14
7292	134
7302	3
7325	8
7388	1
7456	37
7466	19
7476	100
7482	4
7487	51
7488	155
7499	4
7500	21
7505	68
7520	8
7533	66
7534	6
7543	126
7551	86
7566	16
7602	6
7628	9
7648	44
7664	70
7667	17
7668	2
7679	58
7698	104
7718	64
7726	22
7731	3
7742	111
7771	13
7783	166
7790	67
7798	104
7799	1
7818	1
7852	195
7906	121
7913	63
7918	6
7943	13
7969	6
7997	20
8005	972
8041	1580
8059	176
8065	22
8070	413
8094	417
8098	102
8099	285
8132	24
8142	1361
8166	3
8199	9
8218	41
8229	1
8232	12
8254	5
8268	86
8322	454
8328	21
8344	3
8383	126
8393	83
8394	246
8395	1
8399	8
8404	45
8413	31
8437	203
8446	109
8447	46
8448	1
8458	1
8473	1300
8487	11
8498	27
8527	15
8536	111
8542	87
8549	201
8551	25
8554	61
8564	121
8593	50
8612	54
8621	361
8631	22
8642	41
8650	6
8653	32
8654	19
8655	51
8657	32
8667	73
8675	7
8681	2
8685	95
8691	194
8692	27
8700	33
8709	38
8710	103
8723	5
8725	8
8728	231
8733	10
8738	116
8748	34
8749	9
8754	9
8759	76
8760	37
8774	97
8777	93
8778	143
8783	187
8784	1
8789	94
8810	116
8817	105
8832	1
8847	224
8853	13
8860	50
8874	22
8889	13
8893	6
8895	5
8898	11
8903	8
8904	53
8921	16
8928	16
8946	177
8948	11
8952	139
8954	13
8956	18
8957	13
8962	254
8963	9
8971	454
8974	43
8977	193
8982	174
8984	198
8989	94
8994	278
9000	316
9005	1035
9015	59
9017	20
9018	59
9033	2
9043	57
9048	141
9051	68
9053	30
9056	16
9058	275
9064	204
9071	15
9077	32
9085	117
9092	4
9102	187
9106	95
9116	287
9126	19
9129	47
9134	30
9137	6
9139	87
9144	1323
9150	70
9155	90
9156	70
9157	31
9165	30
9167	105
9183	181
9193	103
9202	135
9215	17
9216	10
9217	249
9231	199
9247	175
9252	57
9263	11
9264	1
9269	11
9271	6
9281	5
9283	11
9289	28
9291	78
9292	7
9297	5
9300	1
9304	2
9311	4
9322	15
9330	1
9340	28
9349	3
9354	1
9358	10
9359	80
9362	2
9378	16
9379	4
9382	9
9396	6
9397	3
9404	6
9406	3
9407	111
9415	58
9425	204
9432	4
9442	1813
9444	78
9452	47
9453	41
9456	1
9458	3
9460	158
9475	88
9476	87
9479	45
9484	179
9485	87
9489	268
9496	40
9500	12
9501	64
9509	164
9510	159
9520	38
9526	3
9532	68
9533	103
9538	199
9543	113
9545	180
9556	42
9559	10
9564	356
9566	260
9590	652
9592	147
9607	195
9608	60
9625	34
9627	175
9634	49
9637	189
9643	740
9648	6
9659	11
9667	254
9668	40
9673	83
9677	558
9678	362
9681	1
9682	2797
9683	272
9689	266
9692	291
9696	303
9702	3330
9703	1070
9706	539
9708	233
9719	511
9725	224
9729	1531
9734	1087
9738	38
9739	1156
9740	290
9744	4281
9745	2986
9749	836
9750	3
9755	911
9761	4015
9762	1
9763	2717
9764	1300
9765	1782
9769	561
9771	1275
9774	1708
9778	1
9779	2067
9784	9031
9786	184
9789	6169
9793	245
9795	787
9797	10
9798	187
9799	33
9802	280
9804	502
9805	9139
9806	1
9810	717
9811	20046
9812	7
9815	879
9816	2190
9817	715
9818	44
9820	3471
9821	1500
9822	639
9825	1469
9826	1288
9830	1629
9836	1152
9840	838
9844	51
9849	1044
9862	2371
9877	6
9889	116
9890	211
9891	1
9892	44
9894	55
9900	9
9902	13
9908	49
9910	271
9913	20
9921	15
9922	59
9926	165
9929	81
9939	39
9952	3
9958	360
9965	1
9966	8
9969	13
9970	125
9976	13
9980	13
9981	36
9982	1
9986	29
9987	101
9992	115
9993	91
9994	23
9998	16
9999	7
10000	30
10002	1
10005	41
10006	17
10007	156
10008	3
10012	38
10013	10
10017	22
10018	164
10023	18
10024	111
10025	5
10034	110
10039	11
10040	131
10045	88
10047	55
10048	6
10055	197
10057	107
10061	6
10063	91
10070	8
10096	9
10112	388
10113	816
10116	11
10118	30
10119	177
10123	72
10124	359
10132	9
10134	63
10136	32
10138	43
10143	60
10148	387
10149	1
10152	225
10157	21
10164	633
10169	71
10170	184
10191	3
10195	144
10196	25
10201	3
10202	328
10203	211
10204	1
10213	118
10214	15
10218	24
10220	1
10223	3
10245	14
10248	28
10249	17
10254	1521
10255	61
10259	53
10262	3
10264	5
10269	52
10274	80
10275	3
10285	25
10286	69
10287	262
10292	16
10297	24
10300	6
10301	6
10306	8
10310	10
10311	146
10314	2
10316	91
10318	8
10321	10
10326	2
10328	16
10330	3
10331	16
10335	71
10338	3
10340	12
10345	8
10349	19
10354	2
10355	7
10357	22
10359	4
10367	14
10371	12
10377	5
10380	100
10388	3
10391	14
10392	138
10393	41
10402	338
10407	1
10409	59
10411	28
10414	12
10416	63
10421	131
10424	7
10429	2
10434	136
10437	1
10439	14
10442	74
10452	19
10459	21
10466	204
10468	87
10473	164
10476	113
10516	4
10526	120
10527	1
10529	1
10537	11
10561	14
10571	8
10573	2
10578	2
10585	24
10587	2
10589	26
10594	13
10599	18
10611	2
10613	17
10620	9
10632	20
10652	1
10661	15
10665	2
10682	14
10686	4
10693	12
10700	3
10710	29
10712	7
10717	4
10721	8
10722	8
10726	2
10727	1
10740	6
10745	10
10754	3
10792	1
10794	7
10809	6
10838	3
10843	19
10844	8
10849	14
10854	2
10861	5
10862	3
10866	3
10883	22
10896	7
10913	11
10926	28
10934	16
10950	18
10955	24
10961	1
10962	33
10965	33
10972	7
10979	157
10987	34
10989	405
11008	79
11022	74
11029	104
11032	2
11037	224
11052	81
11057	112
11070	150
11073	139
11075	80
11078	427
11082	534
11083	56
11088	3271
11089	1
11095	1
11103	17
11112	6
11119	163
11121	43
11127	93
11134	184
11136	520
11137	219
11150	1509
11158	2140
11160	1187
11171	168
11173	5693
11180	181
11193	60
11195	109
11200	348
11205	1294
11206	1453
11207	1
11213	301
11221	9
11227	14
11231	8
11236	8
11246	1
11251	9
11268	7
11273	38
11274	10
11280	10
11281	1
11284	1
11293	2
11298	3
11305	1
11306	1
11310	53
11311	11
11315	15
11321	10
11332	35
11340	28
11341	8
11356	8
11371	4
11386	57
11387	182
11390	2
11400	43
11424	12
11425	10
11430	2
11431	35
11432	22
11435	47
11444	3
11445	19
11452	40
11504	33
11511	12
11545	11
11571	1
11575	2
11580	9
11584	10
11597	1
11603	2
11604	152
11614	3
11627	5
11650	5
11656	2
11657	8
11675	32
11681	59
11682	30
11692	101
11698	4
11699	4
11708	2
11722	11
11782	2
11789	36
11822	1
11823	54
11824	51
11829	1
11831	16
11836	36
11837	6
11842	26
11847	1
