Insertion	Frequency
5381	338
5394	4
5401	96
5402	2
5409	1
5411	712
5423	3
5424	2
5430	4052
5437	1480
5443	3220
5489	1332
5503	1
5518	94
5520	1
5527	96
5534	3487
5590	2
5595	43
5600	275
5605	98
5615	152
5624	10
5625	2
5626	61
5639	28
5646	237
5647	1
5648	6
5653	194
5655	301
5660	3
5683	8
5695	40
5700	39
5709	10
5719	1
5735	10
5736	7
5738	1
5740	2
5753	5
5754	24
5755	12
5763	345
5768	35
5778	6
5780	8
5785	24
5795	18
5803	459
5804	66
5811	28
5816	36
5824	22
5829	70
5839	4
5875	3
5892	2
5893	7
5897	10
5902	6
5938	3
5944	134
5957	51
5961	68
5962	7
5967	118
5972	215
5987	2
6036	2
6053	35
6170	1
6225	21
6256	32
6329	1
6808	6
6811	5
6868	54
6901	1
6964	25
7021	3
7026	1
7188	24
7278	1
7280	1
7293	207
7300	65
7322	3
7324	2
7331	5
7333	3
7339	4
7368	1
7469	65
7484	2
7495	12
7496	24
7513	4
7518	3
7536	2
7551	2
7750	24
7769	29
7816	3
7845	2
7851	23
7919	7
7921	3
7951	7
7961	4
8049	16
8078	2
8140	26
8150	11
8201	1
8240	26
8254	1
8276	1313
8311	1
8330	300
8392	7
8402	12
8407	20
8445	4
8466	4
8476	6
8481	1045
8506	12
8508	1
8535	2
8550	21
8555	670
8557	182
8567	3
8572	3
8601	1625
8615	8
8629	330
8650	78
8662	239
8663	3
8665	95
8674	15
8693	121
8694	13
8705	2
8708	36
8725	114
8733	2
8736	3
8746	4
8752	56
8762	40
8785	44
8786	16
8791	21
8792	5
8797	40
8801	3
8811	6
8818	5
8855	24
8868	2
8897	1
8911	1
8912	1
8916	3
8964	3
8965	11
8970	7
8979	10
8982	5
8985	79
8991	1
8992	2531
8995	2
9001	1
9002	395
9003	5
9013	6
9014	1048
9015	1
9016	275
9022	2
9023	71
9026	120
9032	280
9049	1
9056	39
9061	73
9064	1216
9066	48
9067	105
9072	449
9075	1
9078	1
9079	39
9083	118
9085	364
9096	20
9100	181
9110	1
9122	9
9125	351
9126	22
9132	37
9134	58
9142	583
9147	15
9148	2
9150	2
9151	1
9152	37692
9158	862
9163	810
9164	40
9165	439
9176	386
9181	76
9186	30
9191	1109
9200	11
9210	296
9223	1
9225	570
9226	259
9239	97
9250	128
9255	134
9260	198
9269	1
9271	177
9272	271
9277	21
9278	1
9279	51
9289	67
9297	339
9299	135
9300	18
9305	2
9310	5
9314	1
9326	1
9330	215
9335	28
9338	39
9343	50
9347	32
9348	295
9355	17
9356	18
9357	21
9367	4
9380	27
9387	3
9390	93
9394	20
9395	1
9401	43
9404	5
9405	13
9408	1
9415	171
9420	3
9423	22
9433	189
9450	1107
9452	33
9460	15
9461	5
9468	5
9483	1
9492	1
9493	38
9497	39
9509	8
9517	10
9518	1
9525	1
9541	1
9584	2
9585	15
9598	42
9641	6
9653	2
9656	96
9667	4
9690	130
9704	17
9710	30
9716	2
9747	32
9748	2
9752	1
9753	1
9769	34
9771	4
9772	30
9773	76
9787	16
9792	12
9794	6
9797	27
9807	1
9813	1
9819	581
9823	28
9824	81
9826	2
9828	21
9833	3
9834	90
9838	2
9839	1
9857	2
9870	316
9875	10
9879	26
9885	4
9897	9
9898	31
9900	21
9902	7
9913	108
9918	305
9934	72
9966	23
9967	15
9978	191
9989	25
9994	27
9995	36
10000	18
10001	54
10002	37
10006	4
10007	24
10008	7
10013	11
10014	6
10015	18
10020	2
10025	84
10026	97
10032	97
10042	9
10048	25
10053	61
10063	34
10065	1
10077	1
10104	3
10105	3
10116	1
10121	23
10122	2
10172	30
10209	4
10210	2
10211	1
10221	18
10228	30
10256	18
10262	172
10267	2
10277	22
10283	65
10294	36
10295	42
10348	8
10352	1
10354	10
10365	51
10371	87
10375	14
10388	405
10400	73
10410	186
10419	4
10424	97
10429	2
10432	4
10437	52
10442	55
10450	98
10455	1
10474	10
10481	6
10484	8
10492	4
10516	2
10545	2
10569	189
10579	5
10592	6
10608	2
10628	13
10640	8
10656	2
10669	1
10690	2
10717	118
10719	2
10727	610
10729	304
10730	2
10762	2
10851	54
10852	219
10869	22
10870	36
10874	26
10876	144
10932	34
10946	6
10949	1
10959	1
10960	32
10968	1
10970	14
10987	2
10996	1
10997	542
11015	1
11031	226
11050	224
11065	763
11070	4
11078	55
11080	756
11085	1
11086	142
11090	1
11091	1
11096	1749
11103	1
11109	27
11111	159
11120	92
11127	6
11144	40
11158	139
11166	950
11168	317
11180	1
11181	1857
11204	62
11208	20
11213	179
11221	151
11222	5
11229	183
11237	1
11239	97
11244	43
11254	7
11259	1
11263	1
11264	779
11271	35
11281	324
11282	30
11287	30
11288	34
11292	46
11311	3
11318	74
11323	57
11329	53
11340	75
11348	18
11349	57
11389	3
11394	68
11395	64
11408	6
11432	3
11438	2
11439	3
11443	15
11445	5
11452	13
11453	3
11460	2
11466	2
11474	4
11480	1
11487	9
11501	2
11512	16
11519	38
11527	1
11553	1
11558	37
11566	7
11568	1
11573	5
11579	2
11588	3
11592	2
11611	1
11612	71
11617	2
11655	2
11690	205
11700	4
11718	3
11722	37
11738	345
11749	581
11774	2
11790	202
11797	31
11798	2
11815	124
11825	95
11831	92
11832	489
11844	163
11845	765
11850	1433
11855	265
11857	1
11858	11
11859	51
11864	66
11865	369
11877	1
11885	3
11889	418
11895	2
11899	8
11906	122
11908	5
11912	113
11916	24
11919	61
11921	944
11922	17
11927	124
11937	52
11938	179
11942	217
11956	1
11964	181
11969	1
11971	18
11979	47
11986	5
11991	55
12003	30
12010	3
12021	5
12028	155
12046	265
12059	9
12069	247
12080	6
12082	75
12092	30
12108	11
12115	4
12117	10
12159	1
12165	1
12184	9
12201	5
12263	1
12273	15
12459	3
12499	1
12512	6
12547	11
12672	2
12738	2
13140	47
13141	112
13154	19
13569	6
13652	1
14041	7
14056	2
14238	6
14436	8
14539	1
14579	1
14589	50
14591	13
14633	23
14644	38
14663	9
14704	50
14711	94
14716	186
14765	53
14780	10
14807	5
14844	1
14859	17
14898	2
14905	3
14910	3
14936	7
15063	1
16231	61
18600	1
18611	722
18649	8
21109	32
21151	22
21376	1
21383	10
23059	6
23249	398
23475	1
23565	7
23650	3
23706	14
23738	1
23930	5
27120	1
29078	16
29532	159
29749	19
31011	28
31064	2
31069	16
31274	11
35398	16
35479	5
36106	1
36114	7
36691	4
36805	2
36964	25
37412	2
37787	1
38519	13
38576	12
40668	1
40854	3
41050	54
42413	1
43813	1
43814	148
43820	2
43825	37
43842	14
43951	2
44024	108
44047	298
44113	2
44161	5
44173	1
44177	2
44178	1535
44190	4
44235	8
44324	4
44329	52
44379	59
44420	11
44672	259
44677	152
44692	164
44713	188
44747	141
44798	3
44815	71
44830	40
44844	44
44875	2
44954	5
45028	2
45038	2
45116	72
45215	5
45308	4
45402	68
45415	1
45464	1
45602	3
45651	1
46297	1
46373	2
46510	4
47751	3
47827	1
