Insertion,Frequency,Orientation
1466,16,plus
2654,3,plus
2702,2,plus
2725,159,plus
2738,180,plus
2757,52,plus
2759,51,plus
2772,199,plus
5324,2,plus
5329,7,plus
5330,4,plus
5331,9,minus
5337,12,minus
5341,3,plus
5343,18,minus
5344,2,minus
5349,17,minus
5350,11,minus
5353,7,plus
5361,12,minus
5368,564,plus
5373,2629,plus
5376,30,minus
5378,180,plus
5381,42,minus
5393,1,plus
5401,86,minus
5403,374,plus
5409,60,minus
5415,37,plus
5416,709,plus
5422,1,plus
5429,664,plus
5435,725,plus
5437,112,minus
5441,1,minus
5443,66,minus
5470,47,plus
5478,22,minus
5479,3,minus
5481,453,plus
5482,147,plus
5489,48,minus
5490,157,minus
5495,203,plus
5496,4,minus
5497,127,minus
5502,112,minus
5502,33,plus
5503,248,plus
5510,57,plus
5512,76,plus
5517,1,minus
5517,95,plus
5518,286,minus
5519,94,minus
5519,225,plus
5520,82,minus
5520,253,plus
5522,358,plus
5523,1,plus
5525,258,minus
5526,4876,plus
5528,142,minus
5530,30,minus
5531,53,plus
5534,3976,minus
5537,46,plus
5545,18,plus
5550,3,minus
5552,64,minus
5552,184,plus
5557,103,minus
5563,43,plus
5575,93,minus
5582,328,plus
5590,80,minus
5592,22,plus
5596,37,minus
5597,304,plus
5599,16,plus
5600,379,minus
5602,28,plus
5605,944,minus
5607,509,plus
5610,531,minus
5612,84,plus
5615,620,minus
5616,27,plus
5617,1,minus
5620,5,minus
5623,1,minus
5625,853,minus
5630,34,plus
5631,12,plus
5638,44,plus
5639,221,minus
5640,46,plus
5645,309,minus
5645,1,plus
5646,396,minus
5647,568,plus
5648,369,minus
5653,252,minus
5655,2830,minus
5657,432,plus
5665,2,minus
5675,1245,plus
5677,24,minus
5687,85,plus
5692,414,plus
5695,35,minus
5705,375,minus
5706,160,minus
5709,4812,minus
5710,2,minus
5711,1,minus
5711,1032,plus
5716,511,plus
5719,2029,minus
5724,22,minus
5729,176,minus
5730,3,plus
5734,2,minus
5735,1704,minus
5737,231,plus
5738,181,minus
5740,2174,minus
5745,1516,minus
5745,280,plus
5746,30,plus
5748,434,minus
5753,1050,minus
5755,40,plus
5763,861,minus
5764,2024,minus
5767,44,plus
5770,108,plus
5772,19,plus
5777,20,plus
5778,1147,minus
5780,3090,minus
5781,1,minus
5782,246,plus
5785,718,minus
5786,943,minus
5787,58,plus
5795,188,minus
5795,105,plus
5796,262,minus
5796,1459,plus
5798,88,plus
5800,39,plus
5801,1646,minus
5803,20080,minus
5803,312,plus
5804,8060,minus
5806,227,plus
5808,136,plus
5811,1378,minus
5813,27,plus
5816,1425,minus
5816,194,plus
5821,1764,minus
5822,1,minus
5824,151,minus
5827,1938,minus
5829,3263,minus
5831,29,plus
5832,123,plus
5837,425,minus
5838,1,plus
5839,113,plus
5846,82,minus
5848,7277,minus
5867,46,plus
5875,1091,minus
5876,4,minus
5879,292,plus
5884,5,plus
5887,4003,minus
5888,1,minus
5889,19,plus
5893,1685,minus
5894,245,plus
5897,22,minus
5902,12021,minus
5903,1,minus
5915,388,minus
5930,33,plus
5935,18,plus
5936,157,plus
5944,24,minus
5946,79,plus
5949,60,plus
5951,25,minus
5954,33,minus
5954,45,plus
5957,12,minus
5958,86,plus
5959,90,plus
5962,2,minus
5964,96,plus
5966,8,minus
5972,24,minus
5974,31,plus
5979,24,plus
5997,1,plus
6026,24,plus
6028,1,plus
6036,22,minus
6057,36,plus
6060,105,minus
6061,42,plus
6067,14,minus
6097,63,plus
6103,3,minus
6109,37,minus
6119,28,plus
6131,122,minus
6155,22,plus
6180,3,plus
6186,42,minus
6190,7,plus
6214,13,minus
6217,23,plus
6225,47,minus
6232,16,minus
6235,140,minus
6236,22,plus
6244,160,minus
6248,6,plus
6256,247,minus
6271,7,minus
6272,13,plus
6273,29,plus
6274,38,minus
6280,20,minus
6302,1,minus
6307,23,plus
6317,74,minus
6320,31,plus
6321,1,plus
6329,1,minus
6351,4,plus
6355,12,plus
6361,7,minus
6365,8,minus
6423,21,plus
6424,15,plus
6447,1,plus
6450,27,minus
6455,10,minus
6470,11,minus
6477,4,minus
6497,17,plus
6505,30,minus
6508,17,plus
6513,9,plus
6551,31,minus
6553,61,plus
6561,10,minus
6563,21,plus
6571,45,minus
6609,10,plus
6615,14,minus
6617,204,minus
6633,4,plus
6634,184,minus
6635,12,minus
6645,161,minus
6650,51,minus
6660,2,plus
6668,3,minus
6669,1,minus
6726,6,plus
6731,1,plus
6734,16,minus
6739,37,minus
6743,36,minus
6754,8,plus
6768,408,minus
6773,42,plus
6776,89,minus
6777,34,plus
6783,3,plus
6785,135,minus
6800,18,plus
6805,31,minus
6823,33,minus
6848,62,plus
6858,2,plus
6860,5,plus
6868,1,minus
6870,13,plus
6916,12,plus
6956,165,plus
6964,21,minus
6990,11,plus
7004,27,minus
7008,11,plus
7039,7,minus
7087,7,plus
7106,14,minus
7110,1,plus
7114,3,plus
7135,5,plus
7154,2,plus
7167,2,plus
7177,1,minus
7195,11,minus
7203,1,plus
7219,224,plus
7252,8,minus
7269,3,plus
7270,1401,plus
7271,33,plus
7278,1,minus
7290,114,plus
7292,769,plus
7298,14,minus
7300,134,minus
7310,3,minus
7313,113,plus
7316,4,plus
7323,181,plus
7325,49,plus
7333,8,minus
7333,181,plus
7337,169,plus
7350,149,plus
7360,106,plus
7376,104,plus
7383,3,plus
7388,79,plus
7396,1,minus
7461,66,plus
7464,37,minus
7474,19,minus
7476,37,plus
7482,2,plus
7484,100,minus
7487,47,plus
7488,148,plus
7490,4,minus
7495,51,minus
7496,155,minus
7500,59,plus
7507,4,minus
7508,21,minus
7513,68,minus
7528,8,minus
7533,15,plus
7541,66,minus
7542,6,minus
7543,2,plus
7551,126,minus
7556,19,plus
7559,86,minus
7568,3,plus
7574,16,minus
7582,9,plus
7589,4,plus
7602,1,plus
7610,6,minus
7610,10,plus
7636,9,minus
